incident,Mag,Date,Time (UTC)
1,-0.2,15/08/2019,12:15:03
2,-0.7,16/08/2019,09:03:44
3,-0.6,16/08/2019,09:08:47
4,-0.4,16/08/2019,09:09:40
5,-0.8,16/08/2019,09:41:41
6,-0.6,16/08/2019,09:51:40
7,-0.6,16/08/2019,09:52:02
8,-0.8,16/08/2019,10:01:34
9,-0.7,16/08/2019,10:05:45
10,-0.6,16/08/2019,10:09:41
11,-0.5,16/08/2019,10:26:51
12,-0.6,16/08/2019,11:08:49
13,-0.8,17/08/2019,10:36:03
14,-0.5,17/08/2019,10:39:08
15,-0.6,17/08/2019,11:25:23
16,-1.1,17/08/2019,11:24:44
17,0,19/08/2019,09:35:51
18,-0.7,19/08/2019,09:40:50
19,-0.3,19/08/2019,09:50:59
20,0,19/08/2019,10:06:14
21,-0.6,19/08/2019,10:09:24
22,-0.5,19/08/2019,10:18:12
23,-0.5,19/08/2019,10:20:42
24,-0.6,20/08/2019,09:06:26
25,0,20/08/2019,09:13:57
26,-0.1,20/08/2019,09:14:13
27,-0.8,20/08/2019,09:16:54
28,-1.2,20/08/2019,09:24:05
29,-0.7,20/08/2019,09:23:48
30,-0.7,20/08/2019,09:33:38
31,-1,20/08/2019,09:37:49
32,-0.7,20/08/2019,09:38:25
33,-0.5,20/08/2019,09:41:12
34,-0.5,20/08/2019,09:43:28
35,-0.9,20/08/2019,10:04:12
36,-0.3,20/08/2019,10:16:42
37,-0.5,20/08/2019,10:48:41
38,-0.8,20/08/2019,15:24:48
39,-0.8,20/08/2019,16:02:04
40,-0.9,20/08/2019,17:02:52
41,-0.7,20/08/2019,18:49:46
42,-1,20/08/2019,20:07:59
43,-0.9,20/08/2019,22:11:54
44,-1.3,20/08/2019,22:35:59
45,-1.3,20/08/2019,23:15:49
46,-1.4,20/08/2019,23:35:30
47,-1,20/08/2019,23:46:34
48,-0.7,21/08/2019,09:45:54
49,-0.3,21/08/2019,09:57:33
50,-0.7,21/08/2019,09:59:22
51,-0.1,21/08/2019,10:02:21
52,-0.6,21/08/2019,10:12:10
53,-0.8,21/08/2019,14:44:03
54,-0.8,21/08/2019,14:46:02
55,-0.9,21/08/2019,15:05:22
56,-1,21/08/2019,15:12:45
57,-0.3,21/08/2019,15:16:59
58,-0.8,21/08/2019,15:23:26
59,-0.6,21/08/2019,15:25:10
60,-0.3,21/08/2019,15:38:04
61,-0.7,21/08/2019,15:38:47
62,-0.3,21/08/2019,15:42:32
63,-0.8,21/08/2019,15:57:13
64,-0.4,21/08/2019,16:00:36
65,-0.2,21/08/2019,16:03:16
66,-0.5,21/08/2019,17:03:46
67,-1,21/08/2019,19:39:47
68,1.6,21/08/2019,19:46:33
69,-0.3,21/08/2019,19:55:45
70,-0.3,21/08/2019,20:08:22
71,-0.9,21/08/2019,20:21:36
72,0.9,21/08/2019,21:42:00
73,-1.1,21/08/2019,23:04:44
74,-0.5,21/08/2019,23:15:12
75,0.1,22/08/2019,02:52:44
76,0.3,22/08/2019,06:46:30
77,-0.5,22/08/2019,13:59:52
78,-0.5,22/08/2019,15:10:43
79,1,22/08/2019,15:23:34
80,-1.3,22/08/2019,20:34:08
81,-0.3,22/08/2019,23:44:45
82,-0.6,23/08/2019,01:22:21
83,-0.5,23/08/2019,02:35:55
84,-1.2,23/08/2019,03:26:09
85,0.4,23/08/2019,04:33:36
86,-1.4,23/08/2019,05:13:58
87,-0.7,23/08/2019,06:51:17
88,-0.5,23/08/2019,13:16:45
89,-0.6,23/08/2019,13:22:08
90,-0.9,23/08/2019,15:26:09
91,-0.1,23/08/2019,17:48:56
92,-0.6,23/08/2019,19:05:59
93,-0.7,23/08/2019,19:39:15
94,-1.2,23/08/2019,21:17:44
95,-1,23/08/2019,21:25:21
96,-0.9,23/08/2019,21:25:18
97,1.1,23/08/2019,22:22:09
98,0.5,24/08/2019,04:01:08
99,-1.6,24/08/2019,05:17:52
100,-1.1,24/08/2019,08:24:26
101,2.1,24/08/2019,22:01:35
102,-1,25/08/2019,20:10:05
103,-1.6,25/08/2019,23:20:25
104,-1.4,26/08/2019,01:33:39
105,-1.3,26/08/2019,03:39:23
106,2.9,26/08/2019,07:30:47
107,-1.3,26/08/2019,07:49:24
108,1,26/08/2019,21:18:29
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
